Time RV eRV Sindex Halpha PhotonCount ObservationTimes
2453747.77881 -0.99 1.1 0.158 0.03242 120288 9
2453747.77941 1.65 1.35 0.1553 0.03242 106656 7
2453747.78002 -2.67 1.26 0.155 0.03242 104911 8
2453748.71797 -0.09 1.58 0.1512 0.0324 30736 2
2453748.71852 -6.23 1.65 0.1486 0.03236 37999 1
2453748.71906 -2.38 1.39 0.1515 0.03235 54697 2
2453748.72938 -3.33 1.1 0.1586 0.03237 108349 5
2453749.72311 -1.84 1.19 0.1531 0.0324 124711 4
2453749.72367 -0.26 1.13 0.1518 0.03242 110900 5
2453749.72425 -1.11 1.16 0.1544 -1 115845 4
2453750.70843 0.47 1.38 0.1576 0.03241 56213 2
2453750.70898 0.44 1.29 0.1584 0.03232 69463 2
2453750.71012 -1.62 1.15 0.1545 0.03234 103671 3
2453750.71066 0.89 1.13 0.157 0.03239 98435 3
2453750.71122 3.57 1.21 0.1559 0.03235 119551 4
2453751.71522 2.24 1.13 0.1505 -1 142957 4
2453751.71579 1.98 1.05 0.1507 0.03251 123894 4
2453751.71646 -0.13 1.11 0.1506 0.03259 134795 4
2453751.717 0.3 1.37 0.1496 0.03241 106401 4
2453751.71756 3.04 1.2 0.1518 0.03241 106432 4
2453752.72245 -1.3 1.21 0.1549 0.03237 114833 5
2453752.72302 -0.09 1.09 0.1554 0.03232 124625 6
2453752.72359 -1.74 1.23 0.1542 0.03235 119907 6
2453753.72352 0.86 1.15 0.1598 0.03235 104565 4
2453753.72407 -1.08 1.19 0.164 0.03241 122648 4
2453753.72461 -1.51 1.18 0.1547 0.03237 100733 3
2453775.71153 1.17 1.27 0.1508 0.03241 111589 6
2453775.71245 -2.34 1.37 0.1612 0.03242 109574 6
2453775.71302 1.41 1.22 0.1588 0.03245 117810 6
2453776.71829 -1.55 1.31 0.1514 0.03247 106960 4
2453776.71883 -1.44 1.19 0.1526 0.03256 123914 4
2453776.71937 -1.16 1.16 0.1497 0.03248 112346 4
2453777.71441 -3.05 1.32 0.1559 0.03252 126479 4
2453777.71495 -0.5 1.28 0.1503 0.03246 109986 3
2453777.71552 -0.89 1.27 0.1497 0.03262 143634 4
2453778.70743 1.16 1.31 0.154 0.0324 83858 3
2453778.70803 -1.14 1.16 0.1531 0.03254 153496 6
2453778.7086 -2.28 1.4 0.1526 0.03244 123082 4
2453779.73335 -1.3 1.36 0.1622 0.03242 113346 7
2453779.73392 -0.93 1.28 0.1624 0.0325 99490 7
2453926.11689 -3.51 1.09 0.1502 0.03265 129537 5
2453926.11744 0.82 1.39 0.149 0.03257 93870 4
2453926.11799 0.48 1.15 0.1458 0.03263 110221 4
2453927.10712 -0.01 1.23 0.1519 0.03253 103279 5
2453927.10767 -1.84 1.19 0.1513 0.03254 102055 5
2453927.10823 -0.69 1.06 0.1517 0.0326 121020 4
2453928.11418 -1.06 1.44 0.1534 0.03244 49580 1
2453928.11472 -0.27 1.36 0.1535 0.03251 47867 1
2453928.11538 1.68 1.32 0.1499 0.03239 59143 2
2453933.08822 -3.92 1.18 0.1518 0.0325 124858 4
2453933.08877 -1.01 1.16 0.1536 0.03238 109553 4
2453933.08946 -0.07 1.08 0.1479 0.0326 128465 4
2453959.14088 -1.64 1.27 0.15 0.03264 108901 3
2453959.14144 -0.83 1.1 0.1509 -1 116391 3
2453959.14199 -0.48 1.26 0.1505 -1 110775 3
2453961.12525 2.4 1.03 0.1545 0.03267 121881 4
2453961.12582 0 1.01 0.1547 0.03267 127450 4
2453961.12638 -0.87 1.2 0.1556 0.03258 121356 4
2453962.12107 0.81 1.09 0.1497 0.0326 128915 4
2453962.12163 -4.15 1.28 0.1513 0.03259 134851 4
2453962.1222 0.67 1.16 0.1563 0.03262 113674 4
2453969.11731 0.4 1.3 0.1453 0.03257 105527 4
2453969.11788 -1.94 1.16 0.1488 0.03255 117958 4
2453969.11843 -2.86 1.19 0.1396 0.03251 94302 3
2453981.98479 -1.79 1.14 0.1538 0.03245 87062 2
2453981.98535 -0.34 1.27 0.1491 -1 113983 3
2453981.98603 -0.07 1.18 0.1495 -1 114510 3
2453983.03271 -0.59 1.18 0.1517 -1 145657 4
