Time RV eRV 3AP2-1 3AP3-2 6AP2-1 6AP3-2 6AP4-3 6AP5-4 6AP6-5 9AP2-1 9AP3-2 9AP4-3 9AP5-4 9AP6-5 9AP7-6 9AP8-7 9AP9-8 c3AP2-1
57669.474435 3203.91966807635 16.7732367652764 -248.247074201099 -9650.78813521558 -157.0305790279 327.213880475299 -822.869181857281 -9190.34975200967 -337.151280203999 -519.1966013853 78.9592024285994 -172.133700594 1019.5967790721 -1570.88129836975 -6364.53742021454 -3889.64941841748 2712.37253686479 0
57669.478231 3427.44757931499 16.3874691386673 -479.919786584429 -9213.992501356 -342.048739796801 364.626756007501 -1133.03700213546 -8449.23884799776 -733.132590302964 -655.823800394101 99.7915645192006 -189.034353232501 912.088702154701 -1825.49559294879 -5556.38037512328 -4088.64819614139 2350.78003022112 0
57669.482062 3106.06205661635 16.9151190144786 -441.523298449609 -9615.77430598602 -212.9796469716 318.952674136501 -1084.10257178128 -9098.5532615864 -240.766275238212 -844.1191831629 180.8762503246 -111.0079810888 614.8292343168 -1429.83709271745 -6382.43347302049 -3728.55994290654 2418.24960078707 0
57669.485824 3128.45694121075 17.2318101585379 -373.8669875951 -9486.02136262 -303.0673482041 245.385782089399 -794.04154268753 -8812.69474760837 -836.401632061772 -750.5465318226 197.2081657449 -162.361699099201 607.021467819701 -1218.53476233293 -5963.8671200266 -4098.65350408443 2192.63018840017 0
57669.489793 2874.32996597756 17.8229269203802 -103.03736525933 -9703.37156212974 -403.72932385143 460.130217090529 -657.61329490724 -9049.75331894722 -920.922820459523 -767.562990558639 118.45743196082 -53.2394272720994 890.501812922819 -1228.91185146539 -5325.41028865521 -5088.79416322385 2126.8727618415 0
57670.472761 487.615725402374 15.5250406275307 -583.80125528143 -2304.04001778376 -213.49704005861 167.98964453843 -1057.63163462516 -1585.43972497919 -695.412806334712 -570.94422683416 92.9614703218599 -178.31469862259 211.3898424952 -999.8167501627 -687.579275785478 -1929.73923467305 1891.8889586798 0
57670.476696 498.533304949631 15.7069570310251 -592.14475070398 -2406.24449087777 -302.87406427179 170.43333032764 -1028.69075506147 -1604.19024788259 -885.435329725608 -555.98209852591 -25.48992850277 -233.98205672627 500.50743276607 -1233.51072042863 -1305.65943647659 -1100.37097474539 1376.18956853857 0
57670.480492 591.479562082611 15.3943384310113 -564.22736388012 -2253.17050094601 -452.57927710205 123.71727128437 -805.92119900848 -1646.40765125154 -661.272764711297 -999.2336955786 113.62625191223 -253.56046924558 693.83484731582 -1351.01295834665 -668.62283215736 -1809.54516026829 1790.91907140555 0
57670.484427 620.174293025745 15.6830571365334 -507.86905440773 -2123.55134154709 -175.22903986559 66.2174568693799 -812.16726325843 -1496.16160079276 -704.092206190738 -671.57086891387 159.40856497014 -352.37184945195 778.37945334455 -1420.55181337735 -542.814811050398 -1775.61682091373 1737.92338730731 0
57670.488119 405.112322297918 15.7389023886685 -639.10042512808 -2189.41683880077 -187.50698697683 145.50227866471 -1129.60908663548 -1275.04405023858 -1096.06702541069 -794.84477231263 220.55009114437 -300.19251180482 398.05133054377 -1212.32194472439 -499.859898289065 -1769.21447808366 1266.27964303393 0
57768.813106 2853.27541433736 18.5095532874938 -998.752329673171 -9129.69107110736 -412.87480880779 330.86075831559 -2003.68458852819 -8167.7113318863 -276.9260738203 -891.47725028342 103.55961647951 -4.36142654777905 276.532020935489 -2519.13579589992 -4741.47107232275 -3433.7483667796 1139.73977741579 0
57768.817945 2808.148058608 16.9983452511319 -1076.74543773063 -9135.10324542923 -600.161391738751 242.47376949665 -1847.36536377919 -8232.27601854644 -293.295920097486 -1159.06174084063 93.2967546644395 -249.41377960064 656.307917085731 -2522.73265077614 -4957.61507362689 -3344.18520422113 1225.58783246959 0
57768.822934 2649.53567871624 16.5140096029232 -1008.69639730471 -9151.61849112177 -529.109804736661 330.78882902616 -1944.23650520256 -8230.41263795159 -212.050583788348 -1004.35133394943 62.6617458370292 -36.9698671670685 297.644357149069 -2371.77127285993 -5008.87961471661 -3258.048015303 1288.33704302557 0
57768.827922 2696.63072963557 15.3966352769116 -1254.50366496184 -8867.46886372492 -269.9170896368 14.767800932399 -2028.63819326443 -7928.58604667 -146.225918697958 -1043.02950002341 267.27319770071 -268.15097873537 241.82952453217 -2608.56093828766 -4805.07806336658 -3012.54435463998 1467.22475929439 0
57768.8329 2662.06743774481 13.9750316945181 -1209.35370717242 -8895.65844607762 -137.987686076 -114.4683345663 -1850.04732342296 -8037.14696941072 -104.041340321162 -794.579208599131 147.496435276429 -571.992888994959 592.104050935859 -2408.80475263434 -5083.75388733124 -2940.13784237248 1099.7909386501 0
57768.837842 2421.43037966179 13.17464766874 -1324.04293935638 -8848.19116371242 -257.6769877232 -27.6870523949001 -2114.20890295682 -7837.37716658499 -186.894945642769 -969.63972155304 165.52982418954 -507.574148682041 555.16127069594 -2752.58019000524 -4805.93684069317 -2896.16168418786 1154.0672279302 0
